post_id,fetched_at,breed,pattern_name,with_image,views,likes,replies,reposts,quotes
18079509911411721,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,613,3,0,0,0
18012730340854848,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,263,0,1,0,0
18071123579672981,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,212,0,1,0,0
18084296894387113,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,8792,55,0,0,0
17899829235282467,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,155,0,1,0,0
18068799698690537,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,121,0,1,0,0
18122217163726147,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,100,1,1,0,0
18090962131993102,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,78,0,1,0,0
18027923282811119,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,56,0,1,0,0
17969085551905103,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,49,0,1,0,0
18108943039912114,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,31,0,1,0,0
18062770589438591,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,42,0,1,0,0
17951768532146546,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,24,0,0,0,0
18061965011456580,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,36,0,1,0,0
17924177466124722,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,20,0,0,0,0
17879961588589591,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,21,0,1,0,0
18128207803593026,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,37,0,1,0,0
18074012864653139,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,16,0,1,0,0
18090340310581440,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,24,0,1,0,0
18046930961773665,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,15,0,1,0,0
18101499713059314,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,559,28,0,0,0
18081659204414829,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,112,1,0,0,0
18109149163714040,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,5,0,1,0,0
18422140360124218,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,7,0,1,0,0
17968896278904378,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,2,0,1,0,0
17890663707495431,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,6,0,0,0,0
18136995982476982,2026-05-18T16:00:37.270692+00:00,schnauzer,,,2466,8,10,0,0
17917500087166870,2026-05-18T16:00:37.270692+00:00,chihuahua,,,7,0,1,0,0
17992986347959687,2026-05-18T16:00:37.270692+00:00,shiba,,,1053,11,0,0,0
18091414241593614,2026-05-18T16:00:37.270692+00:00,shiba,,True,191,1,1,0,0
18195928786321537,2026-05-18T16:00:37.270692+00:00,shiba,,True,819,2,0,0,0
17965107639080497,2026-05-18T16:00:37.270692+00:00,shiba,,True,694,2,0,0,0
18096317570138166,2026-05-18T16:00:37.270692+00:00,shiba,,True,85,1,1,0,0
17949558345168553,2026-05-18T16:00:37.270692+00:00,shiba,,True,92,2,1,0,0
17950399647176309,2026-05-18T16:00:37.270692+00:00,shiba,,True,114,1,1,0,0
18103786837791234,2026-05-18T16:00:37.270692+00:00,shiba,,True,377,1,0,0,0
18116558551704140,2026-05-18T16:00:37.270692+00:00,shiba,,True,52,2,1,0,0
17999190236761226,2026-05-18T16:00:37.270692+00:00,shiba,,True,62,1,1,0,0
17886913890540574,2026-05-18T16:00:37.270692+00:00,shiba,,True,43,0,1,0,0
17924162442340402,2026-05-18T16:00:37.270692+00:00,shiba,,True,139,0,1,0,0
17937867003217252,2026-05-18T16:00:37.270692+00:00,shiba,,True,48,0,1,0,0
18078452315545820,2026-05-18T16:00:37.270692+00:00,shiba,,True,100,0,1,0,0
18100435259087156,2026-05-18T16:00:37.270692+00:00,shiba,,True,809,7,0,0,0
18106497379938402,2026-05-18T16:00:37.270692+00:00,shiba,,True,357,2,1,0,0
17880368091581811,2026-05-18T16:00:37.270692+00:00,shiba,,True,1421,28,0,0,0
18361730890234307,2026-05-18T16:00:37.270692+00:00,shiba,,True,122,0,1,0,0
18116131102773865,2026-05-18T16:00:37.270692+00:00,shiba,,True,51,0,1,0,0
17987783025003967,2026-05-18T16:00:37.270692+00:00,shiba,,True,178,3,1,0,0
17894323614334456,2026-05-18T16:00:37.270692+00:00,shiba,,True,99,0,1,0,0
18451027096112009,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,169,1,1,0,0
18047079593777886,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,139,0,1,0,0
18117246022674158,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,85,1,1,0,0
18114443632674525,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,184,0,1,0,0
18115614073701352,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,160,0,1,0,0
18419849317179630,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,3340,32,0,0,0
18109709123498671,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,563,5,1,0,0
18021294173666125,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,385,0,1,0,0
18087391586168764,2026-05-18T16:00:37.270692+00:00,cavalier,,True,174,1,1,0,0
18066127145498397,2026-05-18T16:00:37.270692+00:00,cavalier,,True,223,3,1,0,0
17951831156984964,2026-05-18T16:00:37.270692+00:00,cavalier,,True,175,1,1,0,0
18232929538308966,2026-05-18T16:00:37.270692+00:00,cavalier,,True,213,1,1,0,0
18081467180139816,2026-05-18T16:00:37.270692+00:00,cavalier,,True,257,2,1,0,0
18372524605200069,2026-05-18T16:00:37.270692+00:00,cavalier,,True,778,5,0,0,0
18040325729590683,2026-05-18T16:00:37.270692+00:00,cavalier,,True,3136,43,0,0,0
18076304762243602,2026-05-18T16:00:37.270692+00:00,cavalier,,True,1843,73,0,0,0
18130214047583587,2026-05-18T16:00:37.270692+00:00,cavalier,,True,279,4,1,0,0
17919094587360755,2026-05-18T16:00:37.270692+00:00,cavalier,,True,195,3,1,0,0
18201740863354515,2026-05-18T16:00:37.270692+00:00,cavalier,,True,179,1,1,0,0
18053535191740695,2026-05-18T16:00:37.270692+00:00,cavalier,,True,692,5,0,0,0
18198231193363230,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,168,0,1,0,0
17883458586412955,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,126,0,1,0,0
18009038717713043,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,220,3,1,0,0
18129516817581903,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,83,0,1,0,0
17928180204278406,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,300,0,0,0,0
17945063040016452,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,72,1,5,0,0
17933632518072127,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,632,0,0,0,0
18078337157553263,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,43,0,1,0,0
18079891214543254,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,7,0,1,0,0
18206969350341088,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,5,0,1,0,0
17979400065009229,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,4,0,0,0,0
17909063145224505,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,4,0,1,0,0
17889310911486801,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,3,0,0,0,0
17952976935134715,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,51,0,0,0,0
18120809116639776,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,25,0,0,0,0
17974897023045784,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,139,0,0,0,0
17945888478191227,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,4,0,1,0,0
18029905394805835,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,3,0,1,0,0
17999402465760983,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,1,0,1,0,0
17925872943318569,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,2,0,1,0,0
18351826393215312,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,2,0,1,0,0
18390245170094613,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,3,0,1,0,0
17943432117190061,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,7,0,1,0,0
18153191074462526,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,1,0,1,0,0
18122615764712177,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,2,0,1,0,0
18124497643623134,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,2,0,1,0,0
18020649098833724,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,5,0,1,0,0
18092693093236481,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,68,0,1,0,0
18408672586178708,2026-05-19T16:00:36.403655+00:00,shiba,,,168,0,1,0,0
18404720407194276,2026-05-19T16:00:36.403655+00:00,toypoodle,,,388,2,1,0,0
17878303932597861,2026-05-19T16:00:36.403655+00:00,toypoodle,,,514,0,1,0,0
17940745242039656,2026-05-19T16:00:36.403655+00:00,cavalier,,,192,3,1,0,0
18067762025340963,2026-05-19T16:00:36.403655+00:00,chihuahua,,,10,0,1,0,0
18092518793218868,2026-05-19T16:00:36.403655+00:00,shiba,,,414,1,0,0,0
17906304723240908,2026-05-19T16:00:36.403655+00:00,shiba,,,246,1,1,0,0
18045222902561353,2026-05-19T16:00:36.403655+00:00,toypoodle,,,617,0,1,0,0
18065275868399365,2026-05-19T16:00:36.403655+00:00,shiba,,,12,0,1,0,0
18100736822472338,2026-05-19T16:00:36.403655+00:00,chihuahua,,,11,0,1,0,0
18164611021430885,2026-05-19T16:00:36.403655+00:00,shiba,,,24,0,1,0,0
18064144496695559,2026-05-19T16:00:36.403655+00:00,cavalier,,,177,2,1,0,0
18104189467860928,2026-05-19T16:00:36.403655+00:00,chihuahua,,,3,0,1,0,0
18391585780080649,2026-05-19T16:00:36.403655+00:00,toypoodle,,,727,1,0,0,0
18101221274097720,2026-05-19T16:00:36.403655+00:00,shiba,,,40,1,1,0,0
18094801394226091,2026-05-19T16:00:36.403655+00:00,shiba,,,342,0,1,0,0
18103762297970806,2026-05-19T16:00:36.403655+00:00,cavalier,,,70,1,1,0,0
18087253538066234,2026-05-19T16:00:36.403655+00:00,shiba,,,64,0,1,0,0
18067379924352369,2026-05-19T16:00:36.403655+00:00,toypoodle,,,781,2,1,0,0
18089264057346318,2026-05-19T16:00:36.403655+00:00,cavalier,,,88,0,1,0,0
18582406513019310,2026-05-19T16:00:36.403655+00:00,chihuahua,,,1,0,1,0,0
18046670738535681,2026-05-19T16:00:36.403655+00:00,shiba,,,609,9,1,0,0
18109642708718531,2026-05-19T16:00:36.403655+00:00,shiba,,,147,0,1,0,0
17965051475921118,2026-05-19T16:00:36.403655+00:00,schnauzer,,,201,2,1,0,0
18119755165669646,2026-05-19T16:00:36.403655+00:00,chihuahua,,,1,0,1,0,0
18069116963678080,2026-05-19T16:00:36.403655+00:00,shiba,,,55,1,1,0,0
17906746641241956,2026-05-19T16:00:36.403655+00:00,cavalier,,,255,4,0,0,0
17935388403253533,2026-05-19T16:00:36.403655+00:00,chihuahua,,,0,0,1,0,0
17963531742117886,2026-05-19T16:00:36.403655+00:00,toypoodle,,,778,2,2,0,0
17897178879307856,2026-05-19T16:00:36.403655+00:00,shiba,,,348,0,1,0,0
18223848988316313,2026-05-19T16:00:36.403655+00:00,toypoodle,,,783,2,1,0,0
18099122948471215,2026-05-19T16:00:36.403655+00:00,schnauzer,,,207,1,1,0,0
18081967517126156,2026-05-19T16:00:36.403655+00:00,chihuahua,,,3,0,1,0,0
18100810855866447,2026-05-19T16:00:36.403655+00:00,toypoodle,,,714,2,0,0,0
17999124992945865,2026-05-19T16:00:36.403655+00:00,shiba,,True,1994,23,0,0,0
17897050677307258,2026-05-19T16:00:36.403655+00:00,shiba,,True,111,0,1,0,0
17939728989236828,2026-05-19T16:00:36.403655+00:00,shiba,,True,128,0,1,0,0
18351225856240625,2026-05-19T16:00:36.403655+00:00,shiba,,True,118,1,1,0,0
17855392599662209,2026-05-19T16:00:36.403655+00:00,shiba,,True,40,0,1,0,0
18110512207895917,2026-05-19T16:00:36.403655+00:00,shiba,,True,200,1,1,0,0
18098593685037633,2026-05-19T16:00:36.403655+00:00,shiba,,True,61,0,1,0,0
18099401165323031,2026-05-19T16:00:36.403655+00:00,schnauzer,,True,1331,6,0,0,0
18088588343613283,2026-05-19T16:00:36.403655+00:00,schnauzer,,True,531,11,1,0,0
18095432278899938,2026-05-19T16:00:36.403655+00:00,schnauzer,,True,307,2,1,0,0
18085347980373714,2026-05-19T16:00:36.403655+00:00,schnauzer,,True,98,0,1,0,0
18106515047482039,2026-05-19T16:00:36.403655+00:00,schnauzer,,True,98,0,1,0,0
18103247575811586,2026-05-19T16:00:36.403655+00:00,schnauzer,,True,138,1,1,0,0
17965422479922807,2026-05-19T16:00:36.403655+00:00,cavalier,,True,108,0,1,0,0
18115763212834132,2026-05-19T16:00:36.403655+00:00,cavalier,,True,121,0,1,0,0
18221199739320911,2026-05-19T16:00:36.403655+00:00,cavalier,,True,118,1,1,0,0
18117774250663760,2026-05-19T16:00:36.403655+00:00,cavalier,,True,172,2,1,0,0
17886172260551009,2026-05-19T16:00:36.403655+00:00,cavalier,,True,188,1,1,0,0
18110948614900086,2026-05-19T16:00:36.403655+00:00,toypoodle,,True,821,1,0,0,0
17928711336283344,2026-05-19T16:00:36.403655+00:00,toypoodle,,True,21265,100,0,0,0
18012927623895973,2026-05-19T16:00:36.403655+00:00,chihuahua,,True,335,7,0,0,0
17866639467553840,2026-05-20T16:00:35.041765+00:00,cavalier,,,140,2,1,0,0
18090940121191796,2026-05-20T16:00:35.041765+00:00,shiba,,,229,2,1,0,0
18103100140796849,2026-05-20T16:00:35.041765+00:00,toypoodle,,,433,3,1,0,0
18092948459589428,2026-05-20T16:00:35.041765+00:00,cavalier,,,178,0,1,0,0
18425753566121005,2026-05-20T16:00:35.041765+00:00,chihuahua,,,57,0,1,0,0
17891617749351915,2026-05-20T16:00:35.041765+00:00,schnauzer,,,177,0,1,0,0
18411303583199111,2026-05-20T16:00:35.041765+00:00,shiba,,,109,2,1,0,0
18154803019413471,2026-05-20T16:00:35.041765+00:00,toypoodle,,,85,1,1,0,0
17911998000201024,2026-05-20T16:00:35.041765+00:00,cavalier,,,480,25,1,0,0
17863695060572700,2026-05-20T16:00:35.041765+00:00,chihuahua,,,71,0,1,0,0
18211353772331904,2026-05-20T16:00:35.041765+00:00,shiba,,,137,2,0,0,0
18186317710382167,2026-05-20T16:00:35.041765+00:00,schnauzer,,,170,0,1,0,0
18103437946999949,2026-05-20T16:00:35.041765+00:00,chihuahua,,,92,0,1,0,0
18072420011447539,2026-05-20T16:00:35.041765+00:00,toypoodle,,,39,0,1,0,0
18101525780073702,2026-05-20T16:00:35.041765+00:00,cavalier,,,136,0,1,0,0
18165459667425069,2026-05-20T16:00:35.041765+00:00,chihuahua,,,108,0,1,0,0
18335256826301617,2026-05-20T16:00:35.041765+00:00,shiba,,,120,0,1,0,0
18119027830669505,2026-05-20T16:00:35.041765+00:00,cavalier,,,150,0,1,0,0
18117138016666291,2026-05-20T16:00:35.041765+00:00,schnauzer,,,156,0,1,0,0
17888245356520659,2026-05-20T16:00:35.041765+00:00,shiba,,,503,1,0,0,0
17907086109410364,2026-05-20T16:00:35.041765+00:00,cavalier,,,210,2,0,0,0
18077287349218752,2026-05-20T16:00:35.041765+00:00,chihuahua,,,138,0,1,0,0
18599381302043965,2026-05-20T16:00:35.041765+00:00,shiba,,,398,0,0,0,0
17966389650071788,2026-05-20T16:00:35.041765+00:00,shiba,,,244,2,1,0,0
18071648432670727,2026-05-20T16:00:35.041765+00:00,schnauzer,,,186,0,1,0,0
18062149331460262,2026-05-20T16:00:35.041765+00:00,chihuahua,,,291,0,0,0,0
17941981896217246,2026-05-20T16:00:35.041765+00:00,shiba,,,206,0,1,0,0
18163104913440563,2026-05-20T16:00:35.041765+00:00,schnauzer,,,209,0,1,0,0
17857181778646069,2026-05-20T16:00:35.041765+00:00,chihuahua,,,176,1,1,0,0
18089934884209857,2026-05-20T16:00:35.041765+00:00,toypoodle,,,62,0,1,0,0
18106680415947641,2026-05-20T16:00:35.041765+00:00,cavalier,,,70,0,1,0,0
18580798498045805,2026-05-20T16:00:35.041765+00:00,toypoodle,,,68,0,1,0,0
18346996669245526,2026-05-20T16:00:35.041765+00:00,cavalier,,,51,0,1,0,0
18108305974733215,2026-05-20T16:00:35.041765+00:00,chihuahua,,,247,2,1,0,0
17852810049680697,2026-05-20T16:00:35.041765+00:00,shiba,,,45,0,1,0,0
